104,107,	179
105,107,	164
106,107,	172
105,108,	180
108,82,	109
107,83,	118
108,83,	81
107,84,	107
108,84,	42
106,85,	98
107,85,	59
116,93,	139
117,93,	161
116,94,	156
115,95,	147
116,95,	175
121,80,	30
121,81,	51
122,81,	31
121,82,	39
58,119,	51
57,120,	58
58,120,	87
60,120,	108
61,120,	77
62,120,	53
57,121,	102
58,121,	103
59,121,	116
60,121,	85
61,121,	35
56,122,	109
57,122,	71
58,122,	36
59,122,	103
60,122,	62
61,122,	42
58,123,	112
60,123,	100
61,123,	86
62,123,	35
65,129,	42
69,129,	70
64,130,	48
65,130,	59
66,130,	43
67,130,	62
68,130,	73
69,130,	48
71,130,	56
62,131,	54
63,131,	49
64,131,	52
65,131,	54
67,131,	42
68,131,	55
70,131,	77
71,131,	61
72,131,	42
60,132,	42
61,132,	60
62,132,	57
63,132,	55
64,132,	48
66,132,	52
67,132,	46
68,132,	65
69,132,	57
70,132,	59
71,132,	53
63,133,	51
64,133,	57
65,133,	45
66,133,	58
67,133,	44
68,133,	72
69,133,	70
70,133,	53
64,134,	44
71,106,	58
70,107,	54
71,107,	76
67,108,	91
68,108,	73
69,108,	62
70,108,	77
67,109,	79
68,109,	47
69,109,	60
70,109,	91
67,110,	90
68,110,	60
69,110,	79
70,110,	82
71,110,	71
70,111,	92
71,111,	66
70,112,	69
74,126,	129
73,127,	137
74,127,	70
72,128,	84
73,128,	48
74,128,	92
81,136,	29
83,136,	108
84,136,	137
85,136,	114
86,136,	128
83,137,	142
84,137,	117
85,137,	132
81,138,	88
82,138,	110
83,138,	125
84,138,	95
85,138,	134
81,139,	156
82,139,	144
83,139,	120
84,139,	113
85,139,	130
86,94,	47
84,95,	59
85,95,	47
86,95,	52
87,95,	49
84,96,	50
85,96,	39
86,96,	51
87,96,	40
88,96,	53
84,97,	38
86,97,	46
87,97,	53
90,122,	88
91,122,	149
92,122,	94
90,123,	145
91,123,	122
92,123,	142
89,124,	117
90,124,	146
91,124,	108
92,124,	183
89,125,	156
90,125,	104
91,125,	134
88,126,	124
89,126,	141
90,126,	99
91,126,	163
88,127,	155
89,127,	101
90,127,	132
94,117,	131
95,117,	111
95,118,	147
